,Unnamed: 0,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
5611,5611,0.0003539662361321051,0.004459153563015178,0.00429877537170535,0.025879046396205432,0.02397433521270184,0.0005989847962722773,0.008176806836825576,0.02307182691451676,0.055932478587730886,0.009308298492593512,0.007456163754050999,0.010423416342723571,0.004476300243768092,0.00544021453831425,0.008015995412109412,0.014000849531817105,0.009674554899028959,0.010022809203537436,0.052510919971025166,0.006280192351768004,0.0059480168616953925
5695,5695,0.0003553136532808478,0.007730515777540817,0.004529518252059193,0.03357218790857388,0.03589292845560152,0.0007902209738143611,0.007189515679028823,0.041596265327829514,1.3065899317018412,0.012245820782573106,0.009340991526442691,0.013971624439175856,0.004369422230913655,0.0073641675015124735,0.0075372197785963544,0.025462454538198915,0.013891927364887313,0.022690978232036915,1.298950854525293,0.006520587437669449,0.007272672108472535
5913,5913,0.0003553135468994921,0.007725662167174836,0.004528518177739426,0.033559053171207436,0.03587612620285719,0.0007898900612953321,0.007187896207641302,0.04157538642685925,1.3134509580742493,0.012243266786205723,0.00933955317602704,0.01396648195967644,0.00436938086997622,0.00736157223370367,0.00753710105339063,0.0254435254839243,0.013887133436405484,0.0226781588493547,1.3058139974784704,0.006519078679606097,0.007270437073608925
6054,6054,0.00035396612268571434,0.00446038391189823,0.004299115756542209,0.025883388933409312,0.023979804263496662,0.0005990833820702104,0.008176116222387897,0.02307765948087597,0.05596461587767142,0.009308672956210977,0.0074565073173821295,0.010424987775869756,0.00447631274546481,0.005440851960268312,0.008016035156899552,0.014004941040597673,0.009675659173021564,0.010025825741200095,0.05254037158242639,0.006280816401151033,0.005948571853175836
6075,6075,0.0003553135760068531,0.007732194022122178,0.004529860752620401,0.03357668005796448,0.03589864607745651,0.0007903363433578027,0.0071900543015015065,0.0416031443753074,1.304758273798924,0.012246499876652824,0.00934135528763879,0.013973336559930723,0.004369388698552461,0.007364983691572781,0.007537212007461574,0.025468907998788468,0.013893421706850696,0.022695102316933436,1.2971184454340403,0.006521115506751074,0.007273418971999266
6296,6296,0.0003553135458139408,0.007726170436596713,0.004528624592630561,0.03356043014343025,0.035877874654096226,0.0007899244448864843,0.007188064942745026,0.041577531391705384,1.3127809763737557,0.012243516542302685,0.009339690939716804,0.013967015591582931,0.004369380062560829,0.00736183832251126,0.007537117225957382,0.025445496741981318,0.013887621755406912,0.022679470626423063,1.3051437969333357,0.006519236179686892,0.00727066892351415
6362,6362,0.0003539659048710536,0.0044614894760849145,0.004299389937907821,0.025887138086813314,0.023984623808680636,0.0005991711720105548,0.008175512692186915,0.023082857647323096,0.0559899821086154,0.00930893485878359,0.007456755640878218,0.01042633131496677,0.004476293053065501,0.005441396224759624,0.008015994516168922,0.014008592561506151,0.009676573767685685,0.010028492726986565,0.052563730760722516,0.006281350359467186,0.005949058237218086
6422,6422,0.0003553135091872319,0.007734313361850813,0.004530295051861461,0.03358236779419818,0.035905878920401105,0.0007904816670290425,0.0071907454258096325,0.04161190259921287,1.3022955171706516,0.012247420125412772,0.009341854866147678,0.013975522812027016,0.004369359149201126,0.00736603489162362,0.007537203958718263,0.025477083710590067,0.01389536044770734,0.02270037926501864,1.294654759498154,0.006521781826274737,0.007274368929335541
6468,6468,0.00035396591356550935,0.004462185246890713,0.004299629593425597,0.025889793445083718,0.023987750752004152,0.0005992303680380358,0.008175167048898502,0.023085859215205968,0.056006387476842064,0.009308941293075341,0.0074568054726759266,0.01042720772144978,0.004476284384968588,0.005441719813486089,0.008016061747566581,0.014010896606430385,0.009677045958894657,0.010029919005294707,0.052578378092646635,0.006281799535735874,0.005949365230325532
6582,6582,0.0003539659380725684,0.0044619303877249175,0.0042995462704944545,0.025888755378059257,0.02398659446145201,0.0005992047861368412,0.008175180369187858,0.023084909389759583,0.056007598539894066,0.009309240540926531,0.00745701432683017,0.010427005774651173,0.004476355611425582,0.0054416655851610065,0.008016115796145628,0.014010126800924479,0.009677127469558785,0.010029600829209907,0.05257968302497605,0.006281563398349922,0.005949276596337547
6783,6783,0.00035396614267227367,0.004461210775149412,0.004299368948313664,0.025886377113378715,0.02398352128609759,0.0005991485604623314,0.008175587383154369,0.023081597403637005,0.05599143598501654,0.009309069771829331,0.007456850196681668,0.0104261289090289,0.004476367523079058,0.005441317855042246,0.008016151443768866,0.014007738755285487,0.009676537498459438,0.010027909947409543,0.05256482064618878,0.006281230878158278,0.005948957923408286
6888,6888,0.00041533922487721264,0.002218141596331098,0.005850474712606666,0.02427753424889461,0.018387862464926463,0.000617944328621448,0.003129353070265847,0.007093359208721737,0.047826287066701084,0.045123327690167685,0.03757993417672145,0.023662788283188758,0.016507661338808783,0.008777818292257671,0.035855518750654625,0.005639142022640051,0.04884620133849734,0.011413008875398369,0.05320480364222261,0.011242563525951384,0.0022494199262450385
6899,6899,0.0003539659422003658,0.004462511731802774,0.0042996771455087335,0.02589080317229936,0.02398929339369632,0.0005992509131683811,0.008174868293455376,0.023088059548769663,0.05602504408327351,0.009309572627370451,0.007457288429480434,0.010427766361726706,0.004476369609853582,0.0054420085192725095,0.008016123336932857,0.014012039260078544,0.009677776534278265,0.010031347081731435,0.052596039245610016,0.006281819708989478,0.005949543888829742
6977,6977,0.00035396663780991935,0.0044599761133890395,0.004299087323067288,0.02588247501238856,0.02397844471369507,0.0005990536983277957,0.008176247925138588,0.023076305017472,0.055968307285298335,0.009309028089166732,0.007456765593608402,0.010424761502112679,0.004476453185245532,0.005440804728781415,0.008016289690113377,0.014003698063109892,0.009675743759613484,0.010025317690261852,0.05254378285406303,0.006280673277181604,0.005948447724093109
7125,7125,0.0003539660700686477,0.0044611699032525935,0.004299353634872514,0.025886414173321656,0.02398339923140952,0.0005991549378356018,0.008175883899224927,0.023081160817284226,0.055974518292634834,0.009308434777390734,0.007456378278643858,0.010425851951603084,0.0044762305004850955,0.005441171689809132,0.008015987451137642,0.014007440294591786,0.009675969973673756,0.01002741643925502,0.052549293157789695,0.00628137853876945,0.005948901597098076
7171,7171,0.00035396556817487144,0.004460197723217272,0.0042989536564448545,0.02588242037288473,0.02397868911369652,0.0005990777924511815,0.008176655366140331,0.023076307551902788,0.05592698066620984,0.009307540708162795,0.0074556518051350894,0.010424236009556692,0.004476015338955457,0.005440484565120403,0.008015534251508541,0.014004012243858641,0.009674535663589338,0.010024716614058037,0.05250628982185672,0.006280840814531374,0.005948395645053054
7250,7250,0.00041533765662337015,0.0022181574988178955,0.005850394854115425,0.02427754360429235,0.018387639069505773,0.0006179239084653492,0.003129304290839805,0.00709315655086053,0.04782267454907303,0.04512376593920176,0.037581512526578896,0.0236636021484728,0.016508034542877126,0.008778016609303338,0.03585633499677557,0.0056391430772065225,0.04884705749147489,0.011412942525518813,0.05320189883441038,0.01124213593401296,0.0022494453827682282
7416,7416,0.00035396575772830965,0.004462569393396198,0.004299722639216961,0.025890809954591087,0.023989245859578637,0.0005992514991757786,0.00817471968293511,0.023087736459572003,0.05602708228091372,0.00930954857621745,0.0074572783875637705,0.010427864523999308,0.004476393471247108,0.005442000953739742,0.008016159147132709,0.014012313100650752,0.009677788833945372,0.010031083691087165,0.05259739170320432,0.006281818949630745,0.005949572104323164
7475,7475,0.0003539660841364143,0.004460614567416863,0.0042991754362104815,0.025884192559455184,0.02398081861633969,0.0005991018113402224,0.008176007503559466,0.02307873699572158,0.05597044113247696,0.00930871262688356,0.0074565493177153955,0.01042526874247017,0.004476301631197164,0.005440959882297647,0.008016033781908308,0.014005687208536649,0.00967584411442998,0.010026381476616495,0.052545712606630574,0.006280934058385655,0.005948668667239625
7583,7583,0.00035396617724323093,0.0044612862015642255,0.004299372328476632,0.025886709896597047,0.023983987212737874,0.0005991550190116517,0.008175620918705983,0.02308231207050112,0.05599585257948023,0.009309189346793,0.007456945329928206,0.01042625065878716,0.0044763555821469465,0.005441380036802839,0.00801614808687308,0.014007925999056536,0.009676697247800192,0.01002838833661621,0.052569203064846616,0.006281256977729834,0.005948989747901104
